# Nadsat glossary for Casper — source: https://thischickreads.com/nadsat-language-glossary/
# headword\tdefinition (UTF-8, Latin-only)
headword	definition
rozz-van	Police Car, Police Van
sabog	Shoe |  | Origin: From the Russian sapog, meaning "boot," and possibly influenced by the French "sabot," meaning "shoe," this term carries a sense of practicality.
sakar	Sugar |  | Origin: Borrowed from the Russian saxar, meaning "sugar," this term has a sweetness that feels almost universal.
sammy	Generous |  | Origin: A nod to the "Good Samaritan" from the Bible, this term ties generosity to moral virtue.
sarky	Sarcastic |  | Origin: An English slang term, not unique to Nadsat, but its sharpness and brevity make it fit naturally. It reflects the cutting, often irreverent tone of Alex's world.
scoteena	Beast, Cow |  | Origin: From the Russian skotina, meaning "cattle," this term is deeply insulting and dehumanizing.
shaika	Gang |  | Origin: Taken from the Russian šajka, meaning "gang," this term underscores the tribal nature of Alex's droogs.
sharp	Female |  | Origin: A piece of Cockney rhyming slang for "sharp and blunt," this term adds a quirky, informal way of referring to women.
sharries	Buttocks |  | Origin: Derived from the Russian šary, meaning "spheres" or "marbles," this playful term adds a lighthearted, almost childlike tone to descriptions of anatomy.
shest	Barrier |  | Origin: From the Russian šest, meaning "pole," this term has a stark, structural quality. It symbolizes obstacles or divisions, fitting the dystopian atmosphere of A Clockwork Orange.
shilarny	Desire |  | Origin: From the Russian želanije, meaning "desire" or "wish," this term feels lyrical and evocative. It captures both the intensity and fleeting nature of longing.
shive	Slice |  | Origin: Possibly derived from "shiv" (a makeshift knife), this term adds a sharp, cutting quality to the idea of a slice.
shiyah	Neck |  | Origin: From the Russian šeja, meaning "neck," this term is simple and functional, yet it emphasizes the physicality of descriptions in Alex's world.
shlaga	Club, Bat |  | Origin: Borrowed from the German "Schläger," meaning "club" or "bat," this term carries connotations of violence and blunt force, fitting for the weaponry often used in Nadsat's violent world.
shlagnicked	Clubbed |  | Origin: Derived from "shlaga" with the Russian diminutive suffix "-" (-nik), this term is a vivid and action-oriented description of being hit with a club, highlighting the physical brutality of Nadsat slang.
shlapa	Hat |  | Origin: From the Russian šljapa, meaning "hat," this term is straightforward and practical, adding to the array of Nadsat words for clothing and accessories.
shlem	Helmet |  | Origin: From the Russian šlem, meaning "helmet," this term has a militaristic tone, adding to the hardened, combative lexicon of Nadsat.
shoom	Noise, Siren |  | Origin: From the Russian šum, meaning "noise," this term is onomatopoeic and evocative, reflecting the chaotic and overwhelming sounds of Alex's world.
shoot	Fool |  | Origin: From the Russian šut, meaning "clown" or "jester," this term has a mocking tone, aligning with the irreverent humor of Nadsat.
shop-crasting	Stealing from Cars and Houses |  | Origin: A creative blend of English words, this term reflects the specificity of criminal activity in Alex's world. It highlights the resourcefulness and focused intent of the droogs.
shvat	Take |  | Origin: From the Russian sxvatitʹ, meaning "grab," this term is direct and physical, emphasizing quick and decisive action.
sick up	Throw Up, Vomit |  | Origin: Similar to "sicking," this term adds a colloquial, almost casual tone to the unpleasant act of vomiting.
sicking	Vomiting |  | Origin: A blunt and vivid term, "sicking" captures the rawness of the act.
silver-like	Shiny |  | Origin: A poetic term for something that gleams or sparkles, "silver-like" captures the beauty and allure of reflective surfaces.
sinny	Film, Cinema, Movie Theater |  | Origin: A mutated form of "cine," this term reflects the influence of visual media on Nadsat culture.
skazat	To Say |  | Origin: From the Russian skazatʹ, meaning "to say," this term is a straightforward and functional part of Nadsat's linguistic toolkit.
skitebird	Shithead |  | Origin: A colorful insult, this term likely stems from dialectal slang for seagulls, known for their messiness. It adds a touch of humor and derision to Alex's lexicon.
skolliwoll	School |  | Origin: A juvenile mutation of "school," this term emphasizes the youthful and irreverent tone of Nadsat.
skorry	Quick, Quickly |  | Origin: From the Russian skoryj, meaning "quick," this term is efficient and energetic, fitting well with the fast-paced rhythm of Alex's world.
skriking	Scratching |  | Origin: A blend of "strike" and "scratch," this term is vivid and action-oriented, capturing the physicality of the act.
skvat	To Grab |  | Origin: From the Russian sxvatitʹ, meaning "grab," this term emphasizes swift, decisive action, often with aggressive intent.
sladkvat	Sweetest |  | Origin: A playful intensification of "sladky," this term reflects the exuberance and exaggeration common in Nadsat.
sladky	Sweet |  | Origin: From the Russian sladkij, meaning "sweet," this term carries a sense of delight and enjoyment, contrasting with Nadsat's darker themes.
sloochat	To Happen |  | Origin: From the Russian slučatʹsja, meaning "to happen," this term captures the inevitability of events in Alex's chaotic world.
sloosh	To Hear, To Listen |  | Origin: From the Russian slušatʹ, meaning "listen," and slyšatʹ, meaning "hear," these terms are central to Alex's sensory experiences.
slooshy	To Hear, To Listen |  | Origin: From the Russian slušatʹ, meaning "listen," and slyšatʹ, meaning "hear," these terms are central to Alex's sensory experiences.
slovo	Word |  | Origin: From the Russian slovo, meaning "word," this term underscores the power and significance of language in Nadsat.
smarting	Damaged, Bruised |  | Origin: A descriptive term that captures the sensation of pain or injury.
smeck	Laugh |  | Origin: From the Russian smex, meaning "laughter," this term conveys joy or mockery, depending on context.
smot	To Look |  | Origin: From the Russian smotretʹ, meaning "to look," this term is practical and observational, emphasizing the visual aspect of Alex's world.
sneety	Dream |  | Origin: From the Russian snitʹsja, meaning "to be seen in a dream," this term adds a mystical, introspective layer to Nadsat.
snoutie	Tobacco |  | Origin: Borrowed from English prison slang for "tobacco" or "cigarette," this term reflects the casual, everyday vices of Alex's world.
snuff it	Commit Suicide, To Die |  | Origin: An English phrase for extinguishing a candle, this term carries a blunt, unflinching tone.
sobirat	To Pick Up |  | Origin: From the Russian sobiratʹ, meaning "to gather" or "pick up," this term is practical and action-oriented, fitting seamlessly into Nadsat's functional vocabulary.
sod	To Fornicate/Bugger, Fornicator/Bugger |  | Origin: An English slang term derived from "sodomy," this word retains its sharp, derogatory tone in Nadsat.
sooka	Whore |  | Origin: From the Russian suka, literally "bitch," this term is a harsh and derogatory insult. It reflects the misogynistic undertones of Alex's language and worldview.
soomka	Old Woman, Old Whore |  | Origin: From the Russian sumka, meaning "bag," this term dehumanizes and reduces its subject to an object, highlighting the dismissive tone of Nadsat slang.
sophistos	Sophisticated/Beautiful People |  | Origin: A playful term for the upper class or those who value refinement, this word captures the aspirational, satirical edge of Nadsat culture.
soviet	Advice, Order |  | Origin: From the Russian sovet, meaning "advice" or "counsel," this term has a dual meaning, hinting at both guidance and command, fitting for the novel's themes of control and autonomy.
spat	To Sleep |  | Origin: From the Russian spatʹ, meaning "to sleep," and spjačka, meaning "hibernation," these terms convey rest or escape. Their softness contrasts with the harshness of much of Nadsat.
spatchka	To Sleep |  | Origin: From the Russian spatʹ, meaning "to sleep," and spjačka, meaning "hibernation," these terms convey rest or escape. Their softness contrasts with the harshness of much of Nadsat.
splodge	Splash |  | Origin: Onomatopoeic terms that evoke the sound and sensation of water splashing. They add a sensory, playful element to the lexicon.
splosh	Splash |  | Origin: Onomatopoeic terms that evoke the sound and sensation of water splashing. They add a sensory, playful element to the lexicon.
spoogy	Terrified |  | Origin: From the Russian ispugannyj, meaning "frightened," this term has a childlike, exaggerated tone that softens its meaning slightly.
staja	Cell, State Jail |  | Origin: An abbreviation of "State Jail," this term ties Alex's experiences to institutional authority.
starry	Ancient, Old |  | Origin: From the Russian staryj, meaning "old," this term has a quaint, slightly whimsical quality, adding a sense of history or antiquity.
steaky wake	Beef Steak |  | Origin: A juvenile mutation of "steak," this term reflects the playful, irreverent tone of Nadsat.
stoolies	Chairs |  | Origin: From the Russian stulʹja, meaning "chairs," this term is functional and straightforward, reflecting the mundane objects in Alex's environment.
strack	Horror |  | Origin: From the Russian strax, meaning "fear," this term conveys intense dread.
stripey hole	Prison |  | Origin: A colorful term that likely references either the striped uniforms of prisoners or the barred windows of cells.
synthemesc	Drug |  | Origin: Possibly derived from "synthetic mescaline," this term highlights the futuristic, dystopian drug culture in A Clockwork Orange.
tally	Waist |  | Origin: From the Russian talija, meaning "waist," this term is simple and functional. It highlights the physical descriptions often prevalent in Nadsat, emphasizing Alex's keen observation of people's appearances.
tashtook	Handkerchief |  | Origin: Derived from the German "Taschentuch," meaning "pocket cloth," this term adds a touch of elegance to the mundane object, blending practicality with linguistic playfulness.
tass	Cup |  | Origin: Taken from French "tasse" or German "Tasse," meaning "cup," this word reflects the international influences woven into Nadsat.
the old in and out	Sexual Intercourse |  | Origin: This phrase is as blunt and unapologetic as Alex himself.
this nochy	Tonight |  | Origin: From the Russian nočʹ, meaning "night," this phrase combines English and Russian, emphasizing Nadsat's hybrid structure.
tick-tocker	Heart |  | Origin: This term is an inventive take on the sound of a heartbeat, akin to the English slang "ticker." It ties the physicality of the heart to a whimsical linguistic twist.
ticklewickled	Grazed |  | Origin: A playful term that softens the harshness of an injury. It reflects Nadsat's ability to make even painful experiences sound lighter and less threatening.
timps	Drums |  | Origin: From the English "timpani," this term ties directly to music, reflecting Alex's love for rhythm and sound. It highlights the sensory elements of his world.
tolchock	Punch, Hit, Smack, Push, Slap |  | Origin: From the Russian tolčok, meaning "push" or "shove," this term has an aggressive, blunt quality. It captures the immediacy and violence often central to Alex's interactions.
toofles	Slippers |  | Origin: From the Russian tufli, meaning "shoes," this term is both cozy and practical.
tree	Three |  | Origin: From the Russian tri, meaning "three," this term is a simple numeral but gains significance in the rhythm of Alex's speech.
ultra violence	Assorted Violent Crimes |  | Origin: A Nadsat hallmark, this term encapsulates the brutality and excess of Alex's world. It merges "ultra" (extreme) with "violence," creating a chillingly poetic umbrella term for the depravity of the youth gangs.
ultra-violence	Assorted Violent Crimes |  | Origin: A Nadsat hallmark, this term encapsulates the brutality and excess of Alex's world. It merges "ultra" (extreme) with "violence," creating a chillingly poetic umbrella term for the depravity of the youth gangs.
ultraviolence	Assorted Violent Crimes |  | Origin: A Nadsat hallmark, this term encapsulates the brutality and excess of Alex's world. It merges "ultra" (extreme) with "violence," creating a chillingly poetic umbrella term for the depravity of the youth gangs.
vareet	To Cook Up, To Think, An Idea |  | Origin: From the Russian varitʹ, meaning "to cook by boiling," this term metaphorically extends to thinking or formulating ideas.
vaysay	Washroom |  | Origin: Derived from the French pronunciation of "w.c." ("water closet"), this term is practical and slightly elevated, nodding to the multicultural roots of Nadsat.
veck	Person, Man, Fellow |  | Origin: From the Russian čelovek, meaning "person" or "man," this term is central to Nadsat's vocabulary. It carries a casual tone, making it versatile in conversation.
vecks	Person, Man, Fellow |  | Origin: From the Russian čelovek, meaning "person" or "man," this term is central to Nadsat's vocabulary. It carries a casual tone, making it versatile in conversation.
vehina	Wine |  | Origin: From the Russian vino, meaning "wine," this term retains its elegance while serving as a symbol of indulgence in Alex's hedonistic world.
vellocet	Drug |  | Origin: Possibly fabricated but evocative, this term combines the speed of "velocity" with the "-cet" suffix often found in pharmaceuticals, like "Percocet." It suggests a synthetic, high-energy substance, fitting for the dystopian drug culture.
venail	The Nailing In |  | Origin: Referring to the crucifixion of Christ, this term draws from religious imagery, adding weight and historical resonance to its context in Nadsat.
veshch	Thing |  | Origin: From the Russian veščʹ, meaning "thing," this term is a practical, everyday word that shows how Nadsat borrows from Russian for even the simplest expressions.
viddy	See |  | Origin: From the Russian videtʹ, meaning "to see," this term is one of the most iconic in Nadsat. It emphasizes Alex's observational nature and ties directly to the sensory focus of his narrative.
vino	Wine (Also Used as Blood) |  | Origin: Borrowed from the Russian vino, meaning "wine," this term doubles as a metaphor for blood, adding a poetic, visceral quality to descriptions of violence.
voloss	Hair |  | Origin: From the Russian volos, meaning "hair," this term is straightforward yet tactile, adding to the physicality of Nadsat.
von	Smell |  | Origin: Derived from the Russian vonʹ, meaning "stench," this term is raw and evocative, capturing the sensory intensity of unpleasant odors.
vred	To Harm or Damage |  | Origin: From the Russian vred, meaning "harm," this term is succinct and impactful, emphasizing injury or destruction.
warbles	Songs, Recordings |  | Origin: From the English "warble," meaning "to sing," this term is light and musical, reflecting Alex's appreciation for auditory experiences.
worldcast	Satellite TV or Shortwave Radio Broadcast |  | Origin: A blend of "world" and "broadcast," this futuristic term underscores the reach and omnipresence of media in Alex's society.
yahma	Hole |  | Origin: From the Russian jama, meaning "hole," this term is simple and functional, often used metaphorically in descriptions of voids or absences.
yahoodies	Jews |  | Origin: Borrowed from Arabic and Hebrew, this term has a historical and cultural weight, though its context in Nadsat often skews irreverent.
yahzick	Tongue |  | Origin: From the Russian jazyk, meaning "tongue" or "language," this term bridges the physical and linguistic, central to Nadsat's focus on speech and communication.
yarbles	Testicles (Possibly "Balls!") |  | Origin: From the Russian jabloko, meaning "apple," this playful term carries a mix of bravado and humor, central to Alex's macho, irreverent style.
yarblockos	Testicles (Possibly "Balls!") |  | Origin: From the Russian jabloko, meaning "apple," this playful term carries a mix of bravado and humor, central to Alex's macho, irreverent style.
yeckate	To Drive |  | Origin: From the Russian jexatʹ, meaning "to go (by vehicle)," this term reflects mobility and control, fitting well with Alex's fast-paced world.
zammechat	Remarkable |  | Origin: From the Russian zamečatelʹnyj, meaning "remarkable," this term carries an enthusiastic, elevated tone, reflecting awe or admiration.
zasnoot	Sleep |  | Origin: From the Russian zasnutʹ, meaning "to fall asleep," this term is soft and soothing, providing contrast to the harsher aspects of Nadsat.
zheena	Wife |  | Origin: From the Russian žena, meaning "wife," this term is straightforward and practical, often tied to traditional or domestic roles.
zoobies	Teeth |  | Origin: From the Russian zuby, meaning "teeth," this term is sharp and precise, reflecting its anatomical subject.
zvonock	Bellpull, Doorbell |  | Origin: From the Russian zvonok, meaning "doorbell," this term has a ringing, evocative sound, fitting for its practical use.
zvook	Sound |  | Origin: From the Russian zvuk, meaning "sound," this term captures the auditory focus of Alex's world, tying to his love of music and sensory experiences.
